score	original_score	energy	scoring_function	pose_path
-43.16753443311299	-22.971755160632824	-231.56764875682927	DDG	variants/dg_baseline/DDG_1.pdb
-29.459502582523044	-22.971755160632824	-240.13556078412097	DDG	variants/dg_baseline/DDG_2.pdb
-37.64699759437181	-22.971755160632824	-249.29966745858218	DDG	variants/dg_baseline/DDG_3.pdb
-37.83460592874138	-22.971755160632824	-247.59527500478333	DDG	variants/dg_baseline/DDG_4.pdb
-40.64645087811789	-22.971755160632824	-255.9102963044857	DDG	variants/dg_baseline/DDG_5.pdb
-46.299436307881024	-22.971755160632824	-239.5817298736128	DDG	variants/dg_baseline/DDG_6.pdb
-33.48228351927074	-22.971755160632824	-242.07962265226303	DDG	variants/dg_baseline/DDG_7.pdb
-33.9730752012359	-22.971755160632824	-256.05159140451923	DDG	variants/dg_baseline/DDG_8.pdb
-36.99387456587539	-22.971755160632824	-233.29433244138147	DDG	variants/dg_baseline/DDG_9.pdb
-35.74362501232156	-22.971755160632824	-247.5176504015753	DDG	variants/dg_baseline/DDG_10.pdb
-35.356174363386685	-22.971755160632824	-256.0752890798435	DDG	variants/dg_baseline/DDG_11.pdb
-32.36208062240536	-22.971755160632824	-250.40286143946565	DDG	variants/dg_baseline/DDG_12.pdb
-40.52445367481104	-22.971755160632824	-226.9097393403187	DDG	variants/dg_baseline/DDG_13.pdb
-38.724920742966475	-22.971755160632824	-239.61153172108212	DDG	variants/dg_baseline/DDG_14.pdb
-36.40738142420577	-22.971755160632824	-239.75061383875516	DDG	variants/dg_baseline/DDG_15.pdb
-33.90070113208924	-22.971755160632824	-258.4841167754755	DDG	variants/dg_baseline/DDG_16.pdb
-38.239693273384404	-22.971755160632824	-243.62178146189225	DDG	variants/dg_baseline/DDG_17.pdb
-31.841552710260913	-22.971755160632824	-235.09176922120798	DDG	variants/dg_baseline/DDG_18.pdb
-32.25567258620072	-22.971755160632824	-229.2510428124514	DDG	variants/dg_baseline/DDG_19.pdb
-39.74527696594612	-22.971755160632824	-236.46231731166833	DDG	variants/dg_baseline/DDG_20.pdb
